"Journal Name","hindex","Editor","NJR","Citation Y","PubliY-1","PubliY-2","Impact Factor",""
"Expert Systems with Applications","249","","1,87","28839","770","710","19,49",""
"Trans. of the ACL","32","MIT","1,985","2631","92","55","17,90",""
"TACL","32","MIT","1,985","2631","92","55","17,90",""
"Information Processing  Management","114","Elsevier","2,106","6280","250","147","15,82",""
"Neural Networks","164","Springer","2,22","8706","373","205","15,06",""
"npj Computational Materials","64","Nature","2,97","5421","190","202","13,83",""
"IEEE Trans. on Intelligent Transportation Systems","182","IEEE","2,67","14733","663","429","13,49",""
"Applied Soft Computing","171","Elsevier","1,8","23877","1044","827","12,76",""
"Appl Intell","83","Springer","1,21","8354","356","358","11,70",""
"Knowledge-Based Systems","151","Elsevier","2,065","18283","875","718","11,48",""
"IEEE Trans. on Knowledge and Data Engineering","190","IEEE","2,358","5051","284","186","10,75",""
"Trans. on Knowledge and Data Engineering","190","IEEE","2,35","5051","284","186","10,75",""
"Bioinformatics and Genomics","442","Oxford Press","2,94","20438","851","1079","10,59",""
"Bioinformatics","442","Oxford Press","2,94","20438","851","1079","10,59",""
"Briefings in Bioinformatics","142","Oxford Press","2,16","8762","808","114","9,50",""
"IEEE Transactions on Computational Social Systems","44","IEEE","1,31","2335","136","125","8,95",""
"Neural Comput  Applic","111","Springer","1,16","19522","1117","1173","8,52",""
"IEEE Tran.on Emerging Topics in Computational Intelligence","34","IEEE","1,764","1024","60","61","8,46",""
"IEEE/ACM Trans. on Audio, Speech, and Language Processing","70","IEEE","1,348","4266","289","245","7,99",""
"IEEE Access","204","IEEE","0,926","219920","12784","17990","7,15",""
"IEEE Trans, Artif, Intell,","19","Springer","1,7","408","39","22","6,69",""
"Ore Geology Reviews","118","Elsevier","1,172","4568","574","555","4,05",""
"Applied Sciences","101","MDPI","0,49","79388","11974","9141","3,76",""
"Appl, Sci,","101","MDPI","0,49","79388","11974","9141","3,76",""
"Symmetry","76","MDPI","0,48","17032","2433","2112","3,75",""
"ACM Trans, Asian Low-Resour, Lang, Inf, Process,","20","ACM","0,47","528","109","61","3,11",""
"J Wireless Com Network","93","IEEE","0,36","2415","513","512","2,36",""
"Data Mining and Knowledge Discovery","110","Springer","1,635","1479","1123","1032","0,69",""
