,type,paper,anot
surveys_subset,"{'sum': np.float64(2.0312374581939796), 'n': 6, 'mean': np.float64(0.3385395763656633)}",,
models_subset,"{'sum': np.float64(14.086228150111836), 'n': 30, 'mean': np.float64(0.4695409383370612)}",,
datasets_subset,"{'sum': np.float64(5.830259436890666), 'n': 12, 'mean': np.float64(0.48585495307422216)}",,
http://arxiv.org/abs/2302.05019v1,,"{'sum': np.float64(0.21739130434782616), 'n': 3, 'mean': np.float64(0.07246376811594206)}",
https://www.semantic-web-journal.net/system/files/swj1909.pdf,,"{'sum': np.float64(1.8138461538461537), 'n': 3, 'mean': np.float64(0.6046153846153846)}",
https://arxiv.org/abs/2010.01923v2,,"{'sum': np.float64(0.25106382978723396), 'n': 3, 'mean': np.float64(0.08368794326241132)}",
https://arxiv.org/abs/2106.03618v2,,"{'sum': np.float64(1.1164624608967673), 'n': 3, 'mean': np.float64(0.37215415363225574)}",
https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8880633&tag=1,,"{'sum': np.float64(2.0404938271604935), 'n': 3, 'mean': np.float64(0.6801646090534978)}",
https://www.aclweb.org/anthology/2020.emnlp-main.133,,"{'sum': np.float64(0.9502978219034175), 'n': 3, 'mean': np.float64(0.3167659406344725)}",
http://arxiv.org/abs/2303.04132,,"{'sum': np.float64(1.6920058000191733), 'n': 3, 'mean': np.float64(0.5640019333397245)}",
https://arxiv.org/abs/2105.13456v2,,"{'sum': np.float64(1.3984119490502582), 'n': 3, 'mean': np.float64(0.4661373163500861)}",
https://aclanthology.org/P19-1525,,"{'sum': np.float64(1.9570874861572538), 'n': 3, 'mean': np.float64(0.6523624953857513)}",
https://aclanthology.org/2022.naacl-main.342,,"{'sum': np.float64(1.5321087595745455), 'n': 3, 'mean': np.float64(0.5107029198581818)}",
https://arxiv.org/abs/2302.08675v1,,"{'sum': np.float64(1.5543515207548708), 'n': 3, 'mean': np.float64(0.5181171735849569)}",
https://aclanthology.org/2022.acl-long.183,,"{'sum': np.float64(1.5939446948078209), 'n': 3, 'mean': np.float64(0.5313148982692736)}",
https://aclanthology.org/D19-1649,,"{'sum': np.float64(0.52), 'n': 3, 'mean': np.float64(0.17333333333333334)}",
https://aclanthology.org/2021.emnlp-main.366,,"{'sum': np.float64(1.9401195295932139), 'n': 3, 'mean': np.float64(0.6467065098644046)}",
https://aclanthology.org/L18-1544,,"{'sum': np.float64(2.5474476710515432), 'n': 3, 'mean': np.float64(0.8491492236838477)}",
https://aclanthology.org/2023.acl-long.237/,,"{'sum': np.float64(0.8226922362459094), 'n': 3, 'mean': np.float64(0.2742307454153031)}",
HA&CR,,,"{'sum': np.float64(1.186848057799124), 'n': 5, 'mean': np.float64(0.2373696115598248)}"
HA&CF,,,"{'sum': np.float64(1.468067298528967), 'n': 6, 'mean': np.float64(0.24467788308816116)}"
CR&CF,,,"{'sum': np.float64(1.7410195964893722), 'n': 5, 'mean': np.float64(0.3482039192978744)}"
CR&FM,,,"{'sum': np.float64(2.8589819353885964), 'n': 6, 'mean': np.float64(0.47649698923143274)}"
CR&FG,,,"{'sum': np.float64(3.32355715173351), 'n': 6, 'mean': np.float64(0.553926191955585)}"
FM&FG,,,"{'sum': np.float64(3.9998086980816905), 'n': 6, 'mean': np.float64(0.6666347830136151)}"
CF&FM,,,"{'sum': np.float64(2.1989879822896903), 'n': 4, 'mean': np.float64(0.5497469955724226)}"
CF&FG,,,"{'sum': np.float64(2.021554054054054), 'n': 3, 'mean': np.float64(0.6738513513513514)}"
HA&FG,,,"{'sum': np.float64(0.7543608878210671), 'n': 3, 'mean': np.float64(0.251453629273689)}"
HA&FM,,,"{'sum': np.float64(2.39453938301041), 'n': 4, 'mean': np.float64(0.5986348457526025)}"
