,doc_type,dim,alpha,detail
0,surveys_subset,BENCHMARKTYPE,0.16666666666666663,Poor
1,surveys_subset,TASK,0.6226189122607542,Moderate
2,surveys_subset,LANG,-0.02647526326246763,Poor
3,surveys_subset,DATASET,0.45730173349058223,Moderate
4,surveys_subset,ARCHI,0.289989352920769,Fair
5,surveys_subset,DOMAIN,0.38736865555266775,Fair
6,surveys_subset,SURVEY_METHODO_BIN,1.0,Good
7,surveys_subset,NBDATASET,0.6071428571428572,Moderate
8,surveys_subset,GRANULARITY,0.42949279401226226,Moderate
9,surveys_subset,NBMODEL,1.0,Good
10,surveys_subset,PTM,0.4646754738655945,Moderate
11,surveys_subset,SOURCE,1.0,Good
12,models_subset,NBDATASET,-0.04406779661016946,Poor
13,models_subset,PTM,0.6964647688012342,Tentative
14,models_subset,INPUT,0.29518527854802123,Fair
15,models_subset,DECODINGMETHOD_BIN,0.2313725490196078,Fair
16,models_subset,LANG,0.7854734906527735,Tentative
17,models_subset,LEARNINGMETHOD,0.5510033749247292,Moderate
18,models_subset,TASK,0.8750647836227001,Good
19,models_subset,NBTYPEREL,0.39772509425522395,Fair
20,models_subset,DATASET,0.4796072472651781,Moderate
21,models_subset,GRANULARITY,0.5110330602634703,Moderate
22,models_subset,LINEARIZEDGRAPH_BIN,0.5714285714285714,Moderate
23,models_subset,OBJECTPROPERTIES_BIN,0.19163763066202089,Poor
24,models_subset,DATATYPEPROP,-0.07863467214166575,Poor
25,models_subset,ARCHI,0.573354137114199,Moderate
26,models_subset,COSTEVAL_BIN,0.2547528517110267,Fair
27,models_subset,LOSSUPDATE_BIN,0.34090909090909094,Fair
28,models_subset,DATASETSPLIT,-0.08074534161490687,Poor
29,models_subset,SYNTHGENERATION_BIN,0.4161073825503355,Moderate
30,models_subset,USENEGATIVEEXAMPLE_BIN,0.4285714285714286,Moderate
31,models_subset,SOURCE,1.0,Good
32,models_subset,NBENTITY,1.0,Good
33,models_subset,NBMODEL,1.0,Good
34,datasets_subset,SOURCE,1.0,Good
35,datasets_subset,DATATYPEPROP,0.518283336982702,Moderate
36,datasets_subset,TASK,0.6052188605657154,Moderate
37,datasets_subset,DOMAIN,0.28280651340996166,Fair
38,datasets_subset,NBDOC,0.5625,Moderate
39,datasets_subset,NBSENT,0.27083333333333326,Fair
40,datasets_subset,DATASETSPLIT,1.0,Good
41,datasets_subset,NBENTITY,1.0,Good
42,datasets_subset,SYNTHGENERATION_BIN,-0.13793103448275867,Poor
43,datasets_subset,LANG,0.7032480728628432,Tentative
44,datasets_subset,GRANULARITY,0.6557659208261618,Moderate
45,datasets_subset,NBTYPEREL,1.0,Good
46,datasets_subset,NBTRIPLES,0.4140396109223018,Moderate
47,datasets_subset,NBTYPEENTITY,0.0,Poor
48,datasets_subset,OBJECTPROPERTIES_BIN,0.0,Poor
49,datasets_subset,INPUT,1.0,Good
50,datasets_subset,PTM,1.0,Good
51,datasets_subset,NBDATASET,0.0,Poor
52,datasets_subset,COSTEVAL_BIN,0.0,Poor
53,datasets_subset,USENEGATIVEEXAMPLE_BIN,0.0,Poor
54,datasets_subset,LOSSUPDATE_BIN,0.0,Poor
55,datasets_subset,DECODINGMETHOD_BIN,0.0,Poor
56,datasets_subset,DATASET,0.0,Poor
57,datasets_subset,ARCHI,1.0,Good
58,datasets_subset,LINEARIZEDGRAPH_BIN,1.0,Good
59,datasets_subset,LEARNINGMETHOD,0.0,Poor
