"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"9NS8CKIQ","conferencePaper","2022",", Alistair Plum; , Tharindu Ranasinghe; , Spencer Jones; , Constantin Orasan; , Ruslan Mitkov","Biographical: A Semi-Supervised Relation Extraction Dataset","SIGIR '22","","","10.1145/3477495.3531742","https://arxiv.org/abs/2205.00806v1","Extracting biographical information from online documents is a popular research topic among the information extraction (IE) community. Various natural language processing (NLP) techniques such as text classification, text summarisation and relation extraction are commonly used to achieve this. Among these techniques, RE is the most common since it can be directly used to build biographical knowledge graphs. RE is usually framed as a supervised machine learning (ML) problem, where ML models are trained on annotated datasets. However, there are few annotated datasets for RE since the annotation process can be costly and time-consuming. To address this, we developed Biographical, the first semi-supervised dataset for RE. The dataset, which is aimed towards digital humanities (DH) and historical research, is automatically compiled by aligning sentences from Wikipedia articles with matching structured data from sources including Pantheon and Wikidata. By exploiting the structure of Wikipedia articles and robust named entity recognition (NER), we match information with relatively high precision in order to compile annotated relation pairs for ten different relations that are important in the DH domain. Furthermore, we demonstrate the effectiveness of the dataset by training a state-of-the-art neural model to classify relation pairs, and evaluate it on a manually annotated gold standard set. Biographical is primarily aimed at training neural models for RE within the domain of digital humanities and history, but as we discuss at the end of this paper, it can be useful for other purposes as well.","2022-05-02","2023-04-05 15:11:32","2023-10-17 16:37:17","","","","","","","","Biographical","","","","","ACM","","","True","","https://paperswithcode.com/paper/biographical-a-semi-supervised-relation","https://plumaj.github.io/biographical/","","","{'citing': [], 'cited': ['10.1093/jamia/ocw041', '10.1145/2629489', '10.1145/3357384.3358119', '10.1609/aaai.v34i05.6374', '10.18653/v1/2020.emnlp-main.470', '10.18653/v1/2020.emnlp-main.518', '10.18653/v1/2020.emnlp-main.523', '10.18653/v1/d15-1205', '10.18653/v1/p16-1105', '10.18653/v1/p16-2034', '10.3115/1614108.1614133']}","","","","SAT_granularity:Cross-sentence; SAT_oldTag:CHECKED0923; SAT_task:RE; SAT_granularity:document; SAT_task:CorefReso; SAT_task:NER; SAT_source:Wikidata; SAT_source:Wikipedia; SAT_All_checked:False; SAT_source:Pantheon; SAT_nbtypes_relations:10; SAT_rel_type:explicit; SAT_rel_type:implicit; SAT_rel_type:unclear; SAT_domain:DH; SAT_domain:history; SAT_task:Classification; SAT_task:GraphGeneration","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SIGIR","","","","","","","","","","","","","","",""
"G7MHTGAM","conferencePaper","2017",", Greg Durrett; , Jonathan K. Kummerfeld; , Taylor Berg-Kirkpatrick; , Rebecca S. Portnoff; , Sadia Afroz; , Damon McCoy; , Kirill Levchenko; , Vern Paxson","Identifying Products in Online Cybercrime Marketplaces: A Dataset for Fine-grained Domain Adaptation","","","","10.18653/v1/d17-1275","http://arxiv.org/abs/1708.09609v1","One weakness of machine-learned NLP models is that they typically perform poorly on out-of-domain data. In this work, we study the task of identifying products being bought and sold in online cybercrime forums, which exhibits particularly challenging cross-domain effects. We formulate a task that represents a hybrid of slot-filling information extraction and named entity recognition and annotate data from four different forums. Each of these forums constitutes its own ""fine-grained domain"" in that the forums cover different market sectors with different properties, even though all forums are in the broad domain of cybercrime. We characterize these domain differences in the context of a learning-based system: supervised models see decreased accuracy when applied to new forums, and standard techniques for semi-supervised learning and domain adaptation have limited effectiveness on this data, which suggests the need to improve these techniques. We release a dataset of 1,938 annotated posts from across the four forums.","2017-08-31","2023-05-03 15:49:42","2023-06-07 08:10:49","","NA","","","NA","","","","","","","","ACL","","","NA","","https://paperswithcode.com/paper/identifying-products-in-online-cybercrime","NA","","","{'citing': ['10.1145/3409289', '10.1145/3292006.3300036', '10.1186/s40163-018-0094-4', '10.1145/3196494.3196529', '10.1109/sp40001.2021.00075', '10.1145/3488560.3498469', '10.1109/eurospw55150.2022.00016', '10.1145/3359789.3359817', '10.1145/3355369.3355597'], 'cited': ['10.18653/v1/d17-1275']}","","","","PWC:notbenchmarked; Pwc_task:Named Entity Recognition (NER); Pwc_task:Slot Filling; PWC:havecode; Pwc_task:slot-filling; Pwc_task:Named Entity Recognition; Pwc_task:named-entity-recognition; Pwc_task:Domain Adaptation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EMNLP 2017 9","","","","","","","","","","","","","","",""
"QHKCSGCB","conferencePaper","2016",", Andrej {\v{Z}}ukov-Gregori{\v{c}}; , Zhiyuan Luo; , Bartal Veyhe","IBC-C: A Dataset for Armed Conflict Analysis","","","","10.18653/v1/p16-2061","https://aclanthology.org/P16-2061","NA","2016-08-01","2023-05-03 15:51:49","2023-10-17 16:34:46","","NA","","","NA","","","IBC-C","","","","","ACL","","","False","","https://paperswithcode.com/paper/ibc-c-a-dataset-for-armed-conflict-analysis","NA","","","","","","","SAT_oldTag:CHECKED0923; SAT_task:RE; SAT_granularity:document; SAT_granularity:sentence; SAT_task:NER; SAT_task:SlotFilling; SAT_nbDoc:16405; SAT_nbSent:35295; SAT_nbtypes_entity:9; SAT_domain:military","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACL 2016 8","","","","","","","","","","","","","","",""
"S7FNZGHZ","conferencePaper","2018",", M; , Angrosh ya; , Danushka Bollegala; , Frans Coenen; , Katie Atkinson","A Dataset for Inter-Sentence Relation Extraction using Distant Supervision","","","","not found","https://aclanthology.org/L18-1246","NA","2018-05-01","2023-05-03 15:55:51","2023-10-17 16:26:13","","NA","","","NA","","","InterSentenceRE","","","","","ACL","","","False","","https://paperswithcode.com/paper/a-dataset-for-inter-sentence-relation","NA","","","","","","","SAT_granularity:Cross-sentence; SAT_oldTag:CHECKED0923; SAT_rel_type:Cross-sentence; SAT_task:RE; SAT_granularity:sentence; SAT_task:CorefReso; SAT_task:NER; SAT_task:Retrieval; SAT_granularity:paragraph; SAT_method_selection:Human; SAT_source:FreeBase; SAT_All_checked:False; SAT_method_selection:Distant; SAT_nbSent:87514; SAT_NbEntity:14861; SAT_nbDoc:31970; SAT_nbtypes_relations:19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LREC 2018 5","","","","","","","","","","","","","","",""
"K2WPX4WJ","conferencePaper","2019",", Aakanksha Naik; , Luke Breitfeller; , Carolyn Rose","TDDiscourse: A Dataset for Discourse-Level Temporal Ordering of Events","","","","10.18653/v1/w19-5929","https://aclanthology.org/W19-5929","Prior work on temporal relation classification has focused extensively on event pairs in the same or adjacent sentences (local), paying scant attention to discourse-level (global) pairs. This restricts the ability of systems to learn temporal links between global pairs, since reliance on local syntactic features suffices to achieve reasonable performance on existing datasets. However, systems should be capable of incorporating cues from document-level structure to assign temporal relations. In this work, we take a first step towards discourse-level temporal ordering by creating TDDiscourse, the first dataset focusing specifically on temporal links between event pairs which are more than one sentence apart. We create TDDiscourse by augmenting TimeBank-Dense, a corpus of English news articles, manually annotating global pairs that cannot be inferred automatically from existing annotations. Our annotations double the number of temporal links in TimeBank-Dense, while possessing several desirable properties such as focusing on long-distance pairs and not being automatically inferable. We adapt and benchmark the performance of three state-of-the-art models on TDDiscourse and observe that existing systems indeed find discourse-level temporal ordering harder.","2019-09-01","2023-05-03 16:05:08","2023-10-17 16:50:40","","NA","","","NA","","","TDDiscourse","","","","","ACL","","","True","","https://paperswithcode.com/paper/tddiscourse-a-dataset-for-discourse-level","https://github.com/aakanksha19/TDDiscourse","","","{'citing': ['10.1007/978-3-031-17120-8_15', '10.1109/ijcnn55064.2022.9892554'], 'cited': []}","","","","SAT_oldTag:CHECKED0923; SAT_task:RE; SAT_granularity:document; SAT_task:RC; SAT_rel_type:temporal; SAT_task:ArgumentExtraction; SAT_rel_type:argument; SAT_method_selection:Human; SAT_nbtypes_relations:5; SAT_All_checked:False; SAT_method_selection:Inference; SAT_nbEvalEx:650; SAT_nbEvalEx:1435; SAT_nbTrainEx:32609; SAT_nbTestEx:1500; SAT_nbTestEx:4258; SAT_nbTrainEx:4000; SAT_method_selection:MultiHuman; SAT_method_selection:Heuristic; SAT_extend:TimeBank; SAT_extend: TimeBank-Dense; SAT_extend:EventTime; SAT_nbDoc:36; SAT_task:Classification","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WS 2019 9","","","","","","","","","","","","","","",""
"66BJAKED","conferencePaper","2020",", Ruben Kruiper; , Julian F. V. Vincent; , Jessica Chen-Burger; , Marc P. Y. Desmulliez; , Ioannis Konstas","A Scientific Information Extraction Dataset for Nature Inspired Engineering","","","","not found","https://arxiv.org/abs/2005.07753v2","Nature has inspired various ground-breaking technological developments in applications ranging from robotics to aerospace engineering and the manufacturing of medical devices. However, accessing the information captured in scientific biology texts is a time-consuming and hard task that requires domain-specific knowledge. Improving access for outsiders can help interdisciplinary research like Nature Inspired Engineering. This paper describes a dataset of 1,500 manually-annotated sentences that express domain-independent relations between central concepts in a scientific biology text, such as trade-offs and correlations. The arguments of these relations can be Multi Word Expressions and have been annotated with modifying phrases to form non-projective graphs. The dataset allows for training and evaluating Relation Extraction algorithms that aim for coarse-grained typing of scientific biological documents, enabling a high-level filter for engineers.","2020-05-15","2023-05-03 16:06:56","2023-10-17 16:20:15","","NA","","","NA","","","FOBIE","","","","","ACL","","","True","","https://paperswithcode.com/paper/a-scientific-information-extraction-dataset","https://github.com/rubenkruiper/FOBIE","","","","","/root/snap/zotero-snap/common/Zotero/storage/PHRHAH3P/ et al. - 2020 - A Scientific Information Extraction Dataset for Na.pdf","","SAT_oldTag:CHECKED0923; SAT_task:RE; SAT_granularity:sentence; SAT_method_selection:Human; SAT_domain:science; SAT_nbSent:1500; SAT_nbtypes_relations:3; SAT_nbTriples:4780; SAT_task:Spanning; havecode","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LREC 2020 5","","","","","","","","","","","","","","",""
"C9P9W24D","conferencePaper","2020",", Omar Adjali; , Romaric Besan{\c{c}}on; , Olivier Ferret; , Herv{\'e} Le Borgne; , Brigitte Grau","Building a Multimodal Entity Linking Dataset From Tweets","","","","not found","https://aclanthology.org/2020.lrec-1.528","The task of Entity linking, which aims at associating an entity mention with a unique entity in a knowledge base (KB), is useful for advanced Information Extraction tasks such as relation extraction or event detection. Most of the studies that address this problem rely only on textual documents while an increasing number of sources are multimedia, in particular in the context of social media where messages are often illustrated with images. In this article, we address the Multimodal Entity Linking (MEL) task, and more particularly the problem of its evaluation. To this end, we propose a novel method to quasi-automatically build annotated datasets to evaluate methods on the MEL task. The method collects text and images to jointly build a corpus of tweets with ambiguous mentions along with a Twitter KB defining the entities. We release a new annotated dataset of Twitter posts associated with images. We study the key characteristics of the proposed dataset and evaluate the performance of several MEL approaches on it.","2020-05-01","2023-05-03 16:07:10","2023-10-17 16:22:10","","NA","","","NA","","","MEL_Tweets","","","","","ACL","","","True","","https://paperswithcode.com/paper/building-a-multimodal-entity-linking-dataset","https://github.com/OA256864/MEL_Tweets","","","","","/root/snap/zotero-snap/common/Zotero/storage/69UPCMWY/ et al. - 2020 - Building a Multimodal Entity Linking Dataset From .pdf","","SAT_oldTag:CHECKED0923; SAT_task:RE; SAT_task:EntityLinking; SAT_task:Event; SAT_context:Text; SAT_context:Image; SAT_context:MultiModal; SAT_source:Twitter; SAT_nbDoc:85k; SAT_NbEntity:5571","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LREC 2020 5","","","","","","","","","","","","","","",""
"FARQ6VC5","conferencePaper","2020",", Abdullatif K{\""o}ksal; , Arzucan {\""O}zg{\""u}r","The RELX Dataset and Matching the Multilingual Blanks for Cross-Lingual Relation Classification","","","","10.18653/v1/2020.findings-emnlp.32","https://aclanthology.org/2020.findings-emnlp.32","Relation classification is one of the key topics in information extraction, which can be used to construct knowledge bases or to provide useful information for question answering. Current approaches for relation classification are mainly focused on the English language and require lots of training data with human annotations. Creating and annotating a large amount of training data for low-resource languages is impractical and expensive. To overcome this issue, we propose two cross-lingual relation classification models: a baseline model based on Multilingual BERT and a new multilingual pretraining setup, which significantly improves the baseline with distant supervision. For evaluation, we introduce a new public benchmark dataset for cross-lingual relation classification in English, French, German, Spanish, and Turkish, called RELX. We also provide the RELX-Distant dataset, which includes hundreds of thousands of sentences with relations from Wikipedia and Wikidata collected by distant supervision for these languages. Our code and data are available at: https://github.com/boun-tabi/RELX","2020-11-01","2023-05-03 16:11:01","2023-10-17 16:36:23","","NA","","","NA","","","RELX","","","","","ACL","","","True","","https://paperswithcode.com/paper/the-relx-dataset-and-matching-the-1","https://github.com/boun-tabi/RELX","","","","","","","SAT_model:BERT; SAT_oldTag:CHECKED0923; SAT_task:QA; SAT_granularity:sentence; SAT_task:RC; SAT_lang:multi; SAT_task:NER; SAT_source:Wikidata; SAT_source:Wikipedia; SAT_lang:english; SAT_lang:french; SAT_lang:german; SAT_lang:spanish; SAT_method_selection:Distant; SAT_lang:turkish; SAT_extend: KBP-37; SAT_nbtypes_relations:37; SAT_nbtypes_relations:24; SAT_nbSent:2575582; havecode; SAT_task:Classification","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Findings of the Association for Computational Linguistics 2020","","","","","","","","","","","","","","",""
"JVN3E77S","conferencePaper","2021",", Natalia Loukachevitch; , Ekaterina Artemova; , Tatiana Batura; , Pavel Braslavski; , Ilia Denisov; , Vladimir Ivanov; , Suresh Manandhar; , Alexander Pugachev; , Elena Tutubalina","NEREL: A Russian Dataset with Nested Named Entities, Relations and Events","","","","10.26615/978-954-452-072-4_100","https://arxiv.org/abs/2108.13112v2","In this paper, we present NEREL, a Russian dataset for named entity recognition and relation extraction. NEREL is significantly larger than existing Russian datasets: to date it contains 56K annotated named entities and 39K annotated relations. Its important difference from previous datasets is annotation of nested named entities, as well as relations within nested entities and at the discourse level. NEREL can facilitate development of novel models that can extract relations between nested named entities, as well as relations on both sentence and document levels. NEREL also contains the annotation of events involving named entities and their roles in the events. The NEREL collection is available via https://github.com/nerel-ds/NEREL.","2021-08-30","2023-05-03 16:11:37","2023-10-17 16:23:41","","NA","","","NA","","","NEREL","","","","","Incoma Ltd","","","True","","https://paperswithcode.com/paper/nerel-a-russian-dataset-with-nested-named","https://github.com/nerel-ds/NEREL","","","","","/root/snap/zotero-snap/common/Zotero/storage/SEE9MRQN/ et al. - 2021 - NEREL A Russian Dataset with Nested Named Entitie.pdf","","SAT_granularity:Cross-sentence; SAT_oldTag:CHECKED0923; SAT_rel_type:Cross-sentence; SAT_task:RE; SAT_task:NER; SAT_rel_type:event; SAT_rel_type:nested; SAT_lang:russian; SAT_source:Wikinews; SAT_nbtypes_entity:29; SAT_nbtypes_relations:49; SAT_NbEntity:56000; SAT_nbTriples:39000; havecode","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RANLP 2021 9","","","","","","","","","","","","","","",""
"7UJNX6EE","conferencePaper","2021",", Yuan YAO; , Jiaju Du; , Yankai Lin; , Peng Li; , Zhiyuan Liu; , Jie zhou; , Maosong Sun","CodRED: A Cross-Document Relation Extraction Dataset for Acquiring Knowledge in the Wild","","","","10.18653/v1/2021.emnlp-main.366","https://aclanthology.org/2021.emnlp-main.366","Existing relation extraction (RE) methods typically focus on extracting relational facts between entity pairs within single sentences or documents. However, a large quantity of relational facts in knowledge bases can only be inferred across documents in practice. In this work, we present the problem of cross-document RE, making an initial step towards knowledge acquisition in the wild. To facilitate the research, we construct the first human-annotated cross-document RE dataset CodRED. Compared to existing RE datasets, CodRED presents two key challenges: Given two entities, (1) it requires finding the relevant documents that can provide clues for identifying their relations; (2) it requires reasoning over multiple documents to extract the relational facts. We conduct comprehensive experiments to show that CodRED is challenging to existing RE methods including strong BERT-based models.","2021-11-01","2023-05-03 16:14:14","2023-10-17 15:47:19","","NA","","","NA","","","CodRED","","","","","ACL","","","True","","https://paperswithcode.com/paper/codred-a-cross-document-relation-extraction","https://github.com/thunlp/CodRED","","","","","","","SAT_granularity:Cross-sentence; SAT_oldTag:CHECKED0923; SAT_task:RE; SAT_granularity:document; SAT_granularity:sentence; SAT_task:NER; SAT_task:Retrieval; SAT_focus:Evidence; SAT_source:Wikidata; SAT_method_selection:Human; SAT_source:Wikipedia; SAT_method_selection:Distant; SAT_negativeExamples:True; SAT_granularity:cross-document; SAT_focus:hardNAinstance; SAT_focus:ReasoningPath; SAT_nbtypes_relations:276; SAT_nbTriples:4755; havecode","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EMNLP 2021 11","","","","","","","","","","","","","","",""
