"\multicolumn{1}{|l|}{Year}","Short Title","\multicolumn{6}{c|}{Data stats}"
"\multicolumn{1}{|l|}{}","","\multicolumn{1}{l|}{NbDoc}","\multicolumn{1}{l|}{NbSent}","\multicolumn{1}{l|}{NbTypeRel}","\multicolumn{1}{l|}{NbTriples}","\multicolumn{1}{l|}{NbEnt}","\multicolumn{1}{l|}{NbTypeEnt.}"
"2011","WIKI-KBP~\cite{riedel_modeling_2010}","$10^3$","$10^5$","$10^1$","?","?","\underline{$10^3$}"
"2015","GoogleRE","?","$10^4$","$10^0$","$10^4$","?","$10^0$"
"2017","WebNLG","$10^4$","$10^4$","$10^2$","$10^4$","$10^2$","$10^0$"
"2017","WIKI-KB","?","?","$10^2$","$10^5$","$10^5$","?"
"2018","TREX","\underline{$10^6$}","$10^6$","$10^2$","$10^6$","?","?"
"2018","FewRel","?","$10^4$","$10^1$","$10^4$","$10^4$","$10^2$"
"2018","GDS","$10^5$","$10^4$","$10^1$","$10^4$","?","$10^0$"
"2019","DocRED","$10^5$","$10^5$","$10^1$","$10^5$","$10^6$","?"
"2019","X-WikiRE","?","\underline{$10^7$}","$10^2$","?","?","?"
"2019","LIFELONGFEWREL","$10^4$","$10^4$","$10^1$","$10^4$","$10^4$","$10^2$"
"2019","WIKI-NRE/GEO-NRE","$10^3$","$10^5$","$10^2$","$10^5$","$10^5$","?"
"2019","KnowledgeNet","$10^3$","$10^3$","$10^1$","$10^4$","$10^4$","$10^1$"
"2020","KILT","\underline{$10^6$}","?","?","?","?","?"
"2021","REBEL","\underline{$10^6$}","$10^5$","$10^2$","$10^5$","$10^5$","\underline{$10^3$}"
"2021","HacRED","$10^3$","?","$10^1$","$10^4$","$10^3$","?"
"2021","WikiGraphs","$10^4$","?","$10^3$","$10^6$","$10^4$","?"
"2021","CodRED","\underline{$10^6$}","$10^5$","$10^2$","$10^3$","?","?"
"2021","WIKI-EVENTS","$10^2$","$10^3$","$10^1$","$10^3$","?","$10^2$"
"2021","WIKI-ZSL","?","$10^4$","$10^2$","$10^4$","$10^4$","?"
"2022","ReDocRED","$10^3$","?","$10^2$","$10^5$","?","$10^0$"
"2022","HyperRED","?","$10^3$","$10^1$","$10^4$","$10^4$","$10^1$"
"2022","MAVEN-ERE","$10^3$","$10^4$","$10^1$","?","$10^4$","$10^1$"
"2022","WDV","$10^3$","?","$10^2$","$10^3$","$10^3$","$10^1$"
"2023","DocRED-FE","$10^3$","?","$10^1$","$10^4$","$10^4$","$10^2$"
"2023","RELD","$10^6$","$10^6$","\underline{$10^4$}","\underline{$10^9$}","\underline{$10^7$}","?"
"2023","REDfm","?","$10^4$","$10^2$","$10^7$","$10^4$","$10^1$"
