"\multicolumn{1}{|l|}{\multirow{2}{*}{Year}}","\multirow{2}{*}{Short Title}","\multicolumn{6}{c|}{Data stats}"
"\multicolumn{1}{|l|}{}","","\multicolumn{1}{l|}{NbDoc}","\multicolumn{1}{l|}{NbSent}","\multicolumn{1}{l|}{NbTriples}","\multicolumn{1}{l|}{NbTypeRel}","\multicolumn{1}{l|}{NbEnt}","\multicolumn{1}{l|}{NbTypeEnt}"
"2003","CONLL03","$10^3$","$10^4$","0","$10^0$","$10^4$","$10^0$"
"2004","ACE2004","$10^3$","$10^3$","$10^3$","$10^0$","$10^4$","$10^0$"
"2004","Conll04","?","$10^3$","$10^3$","$10^0$","?","$10^0$"
"2006","ACE2005","$10^3$","$10^4$","$10^4$","$10^0$","$10^4$","$10^1$"
"2006","TIMEBANK","$10^2$","?","$10^4$","$10^0$","$10^3$","$10^0$"
"2010","NYT10","\underline{$10^5$}","?","\underline{$10^6$}","\underline{$10^2$}","\underline{$10^6$}","?"
"2011","WIKI-KBP","$10^3$","\underline{$10^5$}","?","$10^1$","?","\underline{$10^3$}"
"2013","TempEval","?","?","?","$10^0$","?","?"
"2014","HIEVE","$10^2$","$10^3$","?","$10^0$","?","$10^0$"
"2015","TAC-KBP","\underline{$10^5$}","?","?","$10^1$","$10^3$","$10^0$"
"2016","NYT-FB","?","\underline{$10^5$}","\underline{$10^6$}","$10^1$","?","?"
"2017","TACRED","\underline{$10^5$}","\underline{$10^5$}","?","$10^1$","$10^1$","$10^0$"
"2018","NYT-MULTI","\underline{$10^5$}","?","\underline{$10^6$}","\underline{$10^2$}","\underline{$10^6$}","?"
"2018","MATRES","$10^1$","?","$10^3$","$10^0$","$10^3$","$10^0$"
"2019","NYT10HRL/NYT11-HRL","?","$10^4$","$10^4$","$10^1$","?","?"
"2020","TACREV","\underline{$10^5$}","\underline{$10^5$}","?","$10^1$","$10^1$","$10^0$"
"2020","CASIE","$10^3$","?","$10^3$","$10^0$","?","$10^1$"
"2020","NYT-H","?","$10^4$","?","$10^1$","?","?"
"2021","DWIE","$10^2$","?","$10^4$","$10^1$","$10^4$","$10^2$"
"2021","ReTACRED","$10^4$","$10^4$","?","$10^1$","$10^1$","$10^0$"
"2021","FSL TACRED","\underline{$10^5$}","\underline{$10^5$}","$10^3$","$10^1$","$10^1$","$10^0$"
"2023","MultiCrossRE","?","$10^3$","\underline{$10^6$}","$10^1$","$10^4$","$10^1$"
