"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"MHQK7WDB","conferencePaper","2022","Ali, Manzoor; Saleem, Muhammad; Ngomo, Axel-Cyrille Ngonga","REBench: Microbenchmarking Framework for Relation Extraction Systems","The Semantic Web – ISWC 2022","","","10.1007/978-3-031-19433-7_37","https://link.springer.com/10.1007/978-3-031-19433-7_37","In recent years, several relation extractions (RE) models have been developed to extract knowledge from natural language texts. Accordingly, several benchmark datasets have been proposed to evaluate these models. These RE datasets consisted of natural language sentences with a fixed number of relations from a particular domain. Albeit useful for general-purpose RE benchmarking, they do not allow the generation of customized microbenchmarks according to user-specified criteria for a specific use case. Microbenchmarks are key to testing the individual functionalities of a system and hence pinpoint component-based insights. This article proposes REBench, a framework for microbenchmarking RE systems, which can select customized relation samples from existing RE datasets from diverse domains. The framework is flexible enough to choose relation samples of different sizes and according to the user-defined criteria on essential features to be considered for RE benchmarking. We used various clustering algorithms to generate microbenchmarks. We evaluated the state-of-the-art RE systems using different RE benchmarking samples. The evaluation results show that specialized microbenchmarking is crucial for identifying the limitations of various RE models and their components.","2022","2023-02-28 15:36:32","2025-02-04 17:18:54","2023-02-28 15:36:32","643-659","","","13489","","","","","","","","Springer","","en","False but accesible","","","","DOI.org (Crossref)","","{'citing': [], 'cited': ['10.1007/978-3-319-25007-6_4', '10.1007/978-3-642-15939-8_10', '10.1007/s10115-022-01665-w', '10.1016/j.ipm.2021.102563', '10.1145/1376616.1376746', '10.1145/3442381.3449917', '10.1145/375663.375774', '10.1162/089120100561737', '10.18653/v1/2020.acl-main.136', '10.18653/v1/2020.acl-main.669', '10.18653/v1/2020.coling-main.138', '10.18653/v1/2020.emnlp-main.304', '10.18653/v1/2021.emnlp-main.17', '10.18653/v1/2021.findings-acl.34', '10.18653/v1/2021.findings-emnlp.204', '10.18653/v1/d15-1056', '10.18653/v1/d17-1004', '10.18653/v1/d17-1108', '10.18653/v1/d17-1188', '10.18653/v1/d18-1360', '10.18653/v1/d18-1514', '10.18653/v1/p17-1017', '10.18653/v1/p17-1053', '10.18653/v1/p18-1047', '10.18653/v1/p19-1074', '10.18653/v1/p19-1128', '10.18653/v1/p19-1279', '10.3115/1621969.1621986', '10.48550/arxiv.2009.06207', '10.48550/arxiv.2102.01373']}","","/root/snap/zotero-snap/common/Zotero/storage/GIX6HHNU/Ali et al. - 2022 - REBench Microbenchmarking Framework for Relation .pdf","","manual; SAT_task:RE; SAT_granularity:document; SAT_granularity:sentence; SAT_task:Classif; SAT_type:Benchmark; SAT_focus:datasets; FOCUS_STUDY_OCT; CHECKED1023; SAT_nbModel:4; SAT_interest:10; SAT_focus_period:2015-2021; SAT_dataset:RELD; SAT_nbDataset:8; SAT_model:REBEL; SAT_model:BREDS; SAT_focus:Selection; SAT_task:TripleClustering; SAT_typology_dim:Supervised; SAT_typology_dim:Boostraping","","Sattler, Ulrike; Hogan, Aidan; Keet, Maria; Presutti, Valentina; Almeida, João Paulo A.; Takeda, Hideaki; Monnin, Pierre; Pirrò, Giuseppe; d’Amato, Claudia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ISWC","","","","","","","","","","","","","","",""
"3QMV7B8U","conferencePaper","2022","Bassignana, Elisa; Plank, Barbara","What do You Mean by Relation Extraction? A Survey on Datasets and Study on Scientific Relation Classification","Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics: Student Research Workshop","","","10.18653/v1/2022.acl-srw.7","http://arxiv.org/abs/2204.13516","Over the last ﬁve years, research on Relation Extraction (RE) witnessed extensive progress with many new dataset releases. At the same time, setup clarity has decreased, contributing to increased difﬁculty of reliable empirical evaluation (Taillé et al., 2020). In this paper, we provide a comprehensive survey of RE datasets, and revisit the task deﬁnition and its adoption by the community. We ﬁnd that crossdataset and cross-domain setups are particularly lacking. We present an empirical study on scientiﬁc Relation Classiﬁcation across two datasets. Despite large data overlap, our analysis reveals substantial discrepancies in annotation. Annotation discrepancies strongly impact Relation Classiﬁcation performance, explaining large drops in cross-dataset evaluations. Variation within further sub-domains exists but impacts Relation Classiﬁcation only to limited degrees. Overall, our study calls for more rigour in reporting setups in RE and evaluation across multiple test sets.","2022-04-28","2023-03-28 11:47:04","2025-02-04 17:18:54","2023-03-28 11:47:04","","","","","","","","","","","","ACL","","en","True","","","","arXiv.org","","{'citing': ['10.3390/math10224378'], 'cited': []}","","/root/snap/zotero-snap/common/Zotero/storage/9AMG42D8/Bassignana and Plank - 2022 - What do You Mean by Relation Extraction A Survey .pdf","","star; SAT_model:BERT; SAT_oldTag:CHECKED0923; SAT_task:RC; SAT_focus:TransferLearning; SAT_archi:Transformer; SAT_archi:CNN; SAT_model:SciBERT; SAT_domain:science; SAT_type:Benchmark; SAT_focus:datasets; SAT_focus:Pipeline; SAT_focus:JoinModel; SAT_focus:Embeddings; SAT_typology:False; SAT_nbDataset:17; FOCUS_STUDY_OCT; CHECKED1023; SAT_dataset:ACE; SAT_benchmark_type:Quantitative; SAT_dataset:SemEval; SAT_dataset:FewRel; SAT_dataset:DocRED; SAT_interest:10; SAT_type:DetailedSurvey; SAT_focus_period:2017-2021; SAT_dataset:CONLL; SAT_dataset:FSL TACRED; SAT_dataset:DWIE; SAT_dataset:SciERC; SAT_dataset:ScienceIE; SAT_dataset:GoogleRE; SAT_dataset:SMiler; SAT_nbModel:28; SAT_focus:AnnotationQuality","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACL-SRW","","","","","","","","","","","","","","",""
"FZDVWGJS","conferencePaper","2013","Gangemi, Aldo","A Comparison of Knowledge Extraction Tools for the Semantic Web","The Semantic Web: Semantics and Big Data","978-3-642-38288-8","","10.1007/978-3-642-38288-8_24","","In the last years, basic NLP tasks: NER, WSD, relation extraction, etc. have been configured for Semantic Web tasks including ontology learning, linked data population, entity resolution, NL querying to linked data, etc. Some assessment of the state of art of existing Knowledge Extraction (KE) tools when applied to the Semantic Web is then desirable. In this paper we describe a landscape analysis of several tools, either conceived specifically for KE on the Semantic Web, or adaptable to it, or even acting as aggregators of extracted data from other tools. Our aim is to assess the currently available capabilities against a rich palette of ontology design constructs, focusing specifically on the actual semantic reusability of KE output.","2013","2023-02-03 16:42:51","2023-06-06 06:39:55","","351-366","","","","","","","Lecture Notes in Computer Science","","","","Springer","Berlin, Heidelberg","en","","","","","Springer Link","","{'citing': ['10.1007/978-3-319-53640-8_5', '10.1007/978-3-319-04244-2_19', '10.1007/s13278-022-00894-9', '10.1145/2843043.2843378', '10.1109/aike.2019.00043', '10.2139/ssrn.3248493', '10.1007/978-3-319-70863-8_18', '10.1007/s13218-016-0425-0', '10.1109/mitp.2018.011291354', '10.1007/s10257-018-0368-0', '10.3233/ds-170012', '10.1007/978-3-319-18818-8_34', '10.1007/978-3-319-20267-9_31', '10.2139/ssrn.3199181', '10.1007/978-3-319-11955-7_29', '10.4018/ijswis.2018100106', '10.1007/978-3-319-25518-7_10', '10.1007/978-3-319-41718-9_7', '10.1007/978-3-319-34129-3_50', '10.1007/s10844-020-00621-w', '10.1109/icsc50631.2021.00024', '10.1016/j.jksuci.2020.05.008', '10.1007/978-3-319-27478-2_11', '10.1007/978-3-319-11955-7_13', '10.1007/978-3-319-24309-2_28', '10.1109/bigdata.2017.8258091', '10.1145/3014812.3014867', '10.3233/sw-140158', '10.4018/978-1-5225-0846-5.ch012', '10.1007/978-3-030-16181-1_27', '10.1145/2899005', '10.3233/sw-160228', '10.3390/info13010004', '10.1145/3148011.3148035', '10.1142/s0218194019500487', '10.2139/ssrn.3198924', '10.1007/978-3-319-11964-9_33', '10.1109/icde51399.2021.00012', '10.1007/978-3-319-34129-3_53', '10.3233/sw-160240', '10.3233/sw-180333', '10.1007/978-3-319-39396-4_30', '10.1007/978-3-319-46565-4_22', '10.3233/sw-160221', '10.1007/978-3-319-19581-0_33', '10.1007/978-3-319-70407-4_9', '10.1145/2740908.2741709', '10.3233/sw-212838', '10.1007/978-3-030-35758-0_23', '10.1142/s0218194020400197', '10.1145/3448016.3457238', '10.1007/978-3-030-51253-8_7', '10.3233/web-210491', '10.1145/3213586.3226208', '10.1109/dsaa.2017.33', '10.1007/978-3-319-49004-5_21', '10.1007/978-3-319-26561-2_44', '10.1007/978-3-319-58068-5_18', '10.1109/iiai-aai.2017.21', '10.1145/2740908.2742842', '10.1007/978-3-319-09870-8_15', '10.1007/978-3-319-07443-6_55', '10.1145/2851613.2851845', '10.1016/j.websem.2014.11.001'], 'cited': ['10.1007/978-3-642-38288-8_24']}","","/root/snap/zotero-snap/common/Zotero/storage/MEJ7EIBC/Gangemi - 2013 - A Comparison of Knowledge Extraction Tools for the.pdf","","light","Entity Recognition; Knowledge Extraction; Natural Language Processing; Relation Extraction; Word Sense Disambiguation","Cimiano, Philipp; Corcho, Oscar; Presutti, Valentina; Hollink, Laura; Rudolph, Sebastian","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ESWC","","","","","","","","","","","","","","",""
"EC6K8WQN","conferencePaper","2022",", Mourad Sarrouti; , Carson Tao; , Yoann Mamy Randriamihaja","Comparing Encoder-Only and Encoder-Decoder Transformers for Relation Extraction from Biomedical Texts: An Empirical Study on Ten Benchmark Datasets","BioNLP (ACL) 2022 5","","","10.18653/v1/2022.bionlp-1.37","https://aclanthology.org/2022.bionlp-1.37","Biomedical relation extraction, aiming to automatically discover high-quality and semantic relations between the entities from free text, is becoming a vital step for automated knowledge discovery. Pretrained language models have achieved impressive performance on various natural language processing tasks, including relation extraction. In this paper, we perform extensive empirical comparisons of encoder-only transformers with the encoder-decoder transformer, specifically T5, on ten public biomedical relation extraction datasets. We study the relation extraction task from four major biomedical tasks, namely chemical-protein relation extraction, disease-protein relation extraction, drug-drug interaction, and protein-protein interaction. We also explore the use of multi-task fine-tuning to investigate the correlation among major biomedical relation extraction tasks. We report performance (micro F-score) using T5, BioBERT and PubMedBERT, demonstrating that T5 and multi-task learning can improve the performance of the biomedical relation extraction task.","2022-05-01","2023-05-03 16:17:32","2025-02-04 17:18:54","","NA","","","NA","","","","","","","","ACL","","","NA","","https://paperswithcode.com/paper/comparing-encoder-only-and-encoder-decoder","NA","","","","","/root/snap/zotero-snap/common/Zotero/storage/5NSJPX6B/ et al. - 2022 - Comparing Encoder-Only and Encoder-Decoder Transfo.pdf","","SAT_task:RE; SAT_granularity:sentence; SAT_focus:TransferLearning; SAT_model:T5; SAT_domain:biomedical; SAT_model:PubMedBERT; SAT_model:BioBERT; SAT_type:Benchmark; SAT_focus:LLM; FOCUS_STUDY_OCT; CHECKED1023; SAT_benchmark_type:Quantitative; SAT_interest:10; SAT_nbDataset:10; SAT_focus:ErrorAnalysis; SAT_focus_period:2019-2021; donthavecode; notbenchmarked; SAT_focus:EncoderVSEncoderDecoder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BioNLP","","","","","","","","","","","","","","",""
"RIW5I4ZX","journalArticle","2023","Lingfeng Zhong, Jia Wu; , Qian Li; , Hao Peng; , Xindong Wu","A Comprehensive Survey on Automatic Knowledge Graph Construction","ACM","","","not found","nan","Automatic knowledge graph construction aims to manufacture structured human knowledge. To this end, much effort has historically been spent extracting informative fact patterns from different data sources. However, more recently, research interest has shifted to acquiring conceptualized structured knowledge beyond informative data. In addition, researchers have also been exploring new ways of handling sophisticated construction tasks in diversified scenarios. Thus, there is a demand for a systematic review of paradigms to organize knowledge structures beyond data-level mentions. To meet this demand, we comprehensively survey more than 300 methods to summarize the latest developments in knowledge graph construction. A knowledge graph is built in three steps: knowledge acquisition, knowledge refinement, and knowledge evolution. The processes of knowledge acquisition are reviewed in detail, including obtaining entities with fine-grained types and their conceptual linkages to knowledge graphs; resolving coreferences; and extracting entity relationships in complex scenarios. The survey covers models for knowledge refinement, including knowledge graph completion, and knowledge fusion. Methods to handle knowledge evolution are also systematically presented, including condition knowledge acquisition, condition knowledge graph completion, and knowledge dynamic. We present the paradigms to compare the distinction among these methods along the axis of the data environment, motivation, and architecture. Additionally, we also provide briefs on accessible resources that can help readers to develop practical knowledge graph systems. The survey concludes with discussions on the challenges and possible directions for future exploration.","2023-02-10","2023-03-01 14:34:10","2025-02-04 17:18:54","","","","","","","ACM Comput. Surv.","","","","","","","","","nan","","Arxiv","http://arxiv.org/abs/2302.05019v1","","","","","","","acm; SAT_focus:OpenIE; SAT_focus:KnowledgeIntegration; SAT_focus:KnowledgeAcquisition; SAT_model:BERT; SAT_task:RE; SAT_task:Reasoning; SAT_granularity:document; SAT_granularity:sentence; SAT_task:RC; SAT_task:CorefReso; SAT_task:EntityLinking; SAT_task:EntityTyping; SAT_task:NER; SAT_archi:BiLSTM; SAT_archi:CNN; SAT_task:KnowledgeFusion; SAT_archi:GCN; SAT_archi:LSTM; SAT_context:MultiModal; SAT_model:Elmo; SAT_archi:MaxPooling; SAT_archi:PCNN; SAT_focus:BackgroundKnowledge; SAT_focus:FewSHot; SAT_type:Survey; SAT_focus:distant; FOCUS_STUDY_OCT; SAT_task:JoinRE; CHECKED1023; SAT_nbModel:31; SAT_interest:8; SAT_task:TripleClustering; HERE; SAT_task:KnowledgeCompletion; SAT_archi:RSN; SAT_archi:MIML; SAT_archi:Markov","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GMUXZ944","preprint","2022",", Wei Li; , Wenhao Wu; , Moye Chen; , Jiachen Liu; , Xinyan Xiao; , Hua Wu","Faithfulness in Natural Language Generation: A Systematic Survey of Analysis, Evaluation and Optimization Methods","","","","not found","https://arxiv.org/abs/2203.05227v1","Natural Language Generation (NLG) has made great progress in recent years due to the development of deep learning techniques such as pre-trained language models. This advancement has resulted in more fluent, coherent and even properties controllable (e.g. stylistic, sentiment, length etc.) generation, naturally leading to development in downstream tasks such as abstractive summarization, dialogue generation, machine translation, and data-to-text generation. However, the faithfulness problem that the generated text usually contains unfaithful or non-factual information has become the biggest challenge, which makes the performance of text generation unsatisfactory for practical applications in many real-world scenarios. Many studies on analysis, evaluation, and optimization methods for faithfulness problems have been proposed for various tasks, but have not been organized, compared and discussed in a combined manner. In this survey, we provide a systematic overview of the research progress on the faithfulness problem of NLG, including problem analysis, evaluation metrics and optimization methods. We organize the evaluation and optimization methods for different tasks into a unified taxonomy to facilitate comparison and learning across tasks. Several research trends are discussed further.","2022-03-10","2023-04-07 15:36:58","2023-10-23 21:53:02","","","","","","","","","","","","","","","","NA","","https://paperswithcode.com/paper/faithfulness-in-natural-language-generation-a","NA","","","","","/root/snap/zotero-snap/common/Zotero/storage/GQUJPK4T/ et al. - 2022 - Faithfulness in Natural Language Generation A Sys.pdf","","SAT_focus:OpenIE; SAT_task:Translation; SAT_task:TextGeneration; SAT_task:Summarization; SAT_learning:adversarial; SAT_model:T5; SAT_model:BART; SAT_learning:contrastive; SAT_archi:GCN; SAT_type:Survey; SAT_focus:models; SAT_task:Data-to-text; CHECKED1023; SAT_interest:10; HERE; SAT_model:OpenIE; SAT_focus:TextGeneration; SAT_typology_dim:Optimisation; SAT_typology_dim:ProblemAnalysis; SAT_typology_dim:Eval; SAT_task:DialogGeneration; SAT_focus:Faithfulness; SAT_typology_dim:ErrorAnalysi; SAT_model:PEGASUS; SAT_model:TranS2S; SAT_model:BERTSum; SAT_focus_period:1983-2022; SAT_task:Dialog; SAT_focus:EVAL; SAT_task:Summazization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VXP7RU79","journalArticle","2022",", William Hogan","An Overview of Distant Supervision for Relation Extraction with a Focus on Denoising and Pre-training Methods","","","","10.48550/arXiv.2207.08286","https://www.semanticscholar.org/paper/c69bf57b78c1c00925754c11449ae623ef14c1bb","Relation Extraction (RE) is a foundational task of natural language processing. RE seeks to transform raw, unstructured text into structured knowledge by identifying relational information between entity pairs found in text. RE has numerous uses, such as knowledge graph completion, text summarization, question-answering, and search querying. The history of RE methods can be roughly organized into four phases: pattern-based RE, statistical-based RE, neural-based RE, and large language model-based RE. This survey begins with an overview of a few exemplary works in the earlier phases of RE, highlighting limitations and shortcomings to contex-tualize progress. Next, we review popular benchmarks and critically examine metrics used to assess RE performance. We then dis-cuss distant supervision, a paradigm that has shaped the development of modern RE methods. Lastly, we review recent RE works focusing on denoising and pre-training methods.","2022-07-17","2023-02-03 15:56:23","2023-03-20 09:00:06","","nan","","nan","abs/2207.08286","","ArXiv","","","","","","","","","FALSE","","SemanticScholar","c69bf57b78c1c00925754c11449ae623ef14c1bb","","","","","","","remarkable","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8LGLFV9M","conferencePaper","2018","Nam, Sangha; Han, Kijong; Kim, Eun-Kyung; Choi, Key-Sun","Distant Supervision for Relation Extraction with Multi-sense Word Embedding","Proceedings of the 9th Global Wordnet Conference","","","","https://aclanthology.org/2018.gwc-1.27","Distant supervision can automatically generate labeled data between a large-scale corpus and a knowledge base without utilizing human efforts. Therefore, many studies have used the distant supervision approach in relation extraction tasks. However, existing studies have a disadvantage in that they do not reflect the homograph in the word embedding used as an input of the relation extraction model. Thus, it can be seen that the relation extraction model learns without grasping the meaning of the word accurately. In this paper, we propose a relation extraction model with multi-sense word embedding. We learn multi-sense word embedding using a word sense disambiguation module. In addition, we use convolutional neural network and piecewise max pooling convolutional neural network relation extraction models that efficiently grasp key features in sentences. To evaluate the performance of the proposed model, two additional methods of word embedding were learned and compared. Accordingly, our method showed the highest performance among them.","2018-01","2023-02-28 17:41:17","2023-02-28 17:41:17","2023-02-28 17:41:17","239–244","","","","","","","","","","","Global Wordnet Association","Nanyang Technological University (NTU), Singapore","","","","","","ACLWeb","","","","/root/snap/zotero-snap/common/Zotero/storage/57JUXQDT/Nam et al. - 2018 - Distant Supervision for Relation Extraction with M.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GWC 2018","","","","","","","","","","","","","","",""
"4YP7MES2","preprint","2020","Luo, Guoqing; Pan, Jiaxin; Peng, Min","RDSGAN: Rank-based Distant Supervision Relation Extraction with Generative Adversarial Framework","","","","10.48550/arXiv.2009.14722","http://arxiv.org/abs/2009.14722","Distant supervision has been widely used for relation extraction but suffers from noise labeling problem. Neural network models are proposed to denoise with attention mechanism but cannot eliminate noisy data due to its non-zero weights. Hard decision is proposed to remove wrongly-labeled instances from the positive set though causes loss of useful information contained in removed instances. In this paper, we propose a novel generative neural framework named RDSGAN (Rank-based Distant Supervision GAN) which automatically generates valid instances for distant supervision relation extraction. Our framework combines soft attention and hard decision to learn the distribution of true positive instances via adversarial training and selects valid instances conforming to the distribution via rank-based distant supervision, which addresses the false positive problem. Experimental results show the superiority of our framework over strong baselines.","2020-09-30","2023-02-28 17:40:58","2023-02-28 17:40:58","2023-02-28 17:40:58","","","","","","","RDSGAN","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2009.14722 [cs]","","/root/snap/zotero-snap/common/Zotero/storage/57PKZE8T/Luo et al. - 2020 - RDSGAN Rank-based Distant Supervision Relation Ex.pdf; /root/snap/zotero-snap/common/Zotero/storage/7R9AZNHY/2009.html","","","Computer Science - Computation and Language; Computer Science - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:2009.14722","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7KVCE3VP","preprint","2018","Qin, Pengda; Xu, Weiran; Wang, William Yang","DSGAN: Generative Adversarial Training for Distant Supervision Relation Extraction","","","","10.48550/arXiv.1805.09929","http://arxiv.org/abs/1805.09929","Distant supervision can effectively label data for relation extraction, but suffers from the noise labeling problem. Recent works mainly perform soft bag-level noise reduction strategies to find the relatively better samples in a sentence bag, which is suboptimal compared with making a hard decision of false positive samples in sentence level. In this paper, we introduce an adversarial learning framework, which we named DSGAN, to learn a sentence-level true-positive generator. Inspired by Generative Adversarial Networks, we regard the positive samples generated by the generator as the negative samples to train the discriminator. The optimal generator is obtained until the discrimination ability of the discriminator has the greatest decline. We adopt the generator to filter distant supervision training dataset and redistribute the false positive instances into the negative set, in which way to provide a cleaned dataset for relation classification. The experimental results show that the proposed strategy significantly improves the performance of distant supervision relation extraction comparing to state-of-the-art systems.","2018-05-24","2023-02-28 17:31:31","2023-02-28 17:31:31","2023-02-28 17:31:31","","","","","","","DSGAN","","","","","arXiv","","","","","","","arXiv.org","","arXiv:1805.09929 [cs]","","/root/snap/zotero-snap/common/Zotero/storage/ATZMXBJP/Qin et al. - 2018 - DSGAN Generative Adversarial Training for Distant.pdf; /root/snap/zotero-snap/common/Zotero/storage/ULR8UN6B/1805.html","","","Computer Science - Computation and Language","","","","","","","","","","","","","","","","","","","arXiv:1805.09929","","","","","","","","","","","","","","","","","","","","","","","","","","",""
